epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.9052083492279053,9.999999747378752e-06,0.4378938674926758,0.9416666626930237,0.354403018951416
1,0.925000011920929,9.999999747378752e-06,0.41921326518058777,0.9458333253860474,0.34262511134147644
2,0.9208333492279053,2.9999998787388904e-06,0.37937575578689575,0.9458333253860474,0.3139623701572418
3,0.9354166388511658,2.9999998787388904e-06,0.37740373611450195,0.949999988079071,0.29424723982810974
4,0.9260416626930237,2.9999998787388904e-06,0.37983816862106323,0.9666666388511658,0.28487586975097656
5,0.940625011920929,2.9999998787388904e-06,0.35977715253829956,0.9750000238418579,0.28541862964630127
6,0.9437500238418579,2.9999998787388904e-06,0.3454410433769226,0.9750000238418579,0.28857094049453735
7,0.9291666746139526,8.999999749903509e-07,0.38006070256233215,0.9750000238418579,0.2924099266529083
8,0.925000011920929,8.999999749903509e-07,0.38093331456184387,0.9708333611488342,0.29534170031547546
9,0.934374988079071,2.699999868127634e-07,0.36633455753326416,0.9666666388511658,0.29845550656318665
